Protein_Domain(Queried),Protein_Domain_name,count,SystematicName,Disease,Genetic_Interaction,GO_CC,GO_MF,GO_BP,Pathway,Mutant_Phenotype,Physical_Interaction,Transcriptional_Regulation,Protein_Domain
PF04366,Putative FMN-binding domain,2,"['YFR024C-A', 'YHR016C']",,,,,"['actin cortical patch localization', 'actin filament bundle assembly']",,,"['MMS4', 'AIM3', 'KTR3', 'ERT1', 'SYP1', 'ABP1', 'LDB17', 'SAP155', 'YBP2', 'GTS1', 'DIE2', 'YAP1802', 'HUA1', 'UBP7', 'SYS1', 'CDC6', 'ACF4', 'GMH1', 'ACF2', 'ENT2', 'GYL1', 'APP1', 'CUE5', 'INP53', 'HUA2', 'MET31', 'SEC8', 'BSP1', 'EXG2', 'ECM25', 'SRL1', 'GRS2']",,
PF04376,Protein of unknown function (DUF468),1,['YGL017W'],,,,,,,,,,
PF04377,Las17-binding protein actin regulator,1,['YGL017W'],,,,,,,,,,
PF04383,"Arginine-tRNA-protein transferase, N terminus",3,"['YDL056W', 'YER111C', 'YKL043W']",,['STB1'],"['MBF transcription complex', 'SBF transcription complex']",,['positive regulation of transcription involved in G1/S transition of mitotic cell cycle'],,,,,
PF04387,"Arginine-tRNA-protein transferase, C terminus",1,['YJL097W'],,,,,,,,,,
PF04389,KilA-N domain,6,"['YBR074W', 'YBR286W', 'YDR415C', 'YFR018C', 'YJR126C', 'YOR256C']",,,,"['aminopeptidase activity', 'carboxypeptidase activity', 'metalloexopeptidase activity', 'metallopeptidase activity', 'peptidase activity']",['proteolysis'],,,,,['Transferrin receptor-like dimerisation domain']
PF04406,"Protein tyrosine phosphatase-like protein, PTPLA",1,['YHL022C'],,,,,,,,,,
PF04408,Peptidase family M28,7,"['YER013W', 'YGL120C', 'YKL078W', 'YKR086W', 'YLR419W', 'YMR128W', 'YNR011C']",,,,"['ATP binding', 'RNA binding', 'RNA helicase activity', 'helicase activity', 'hydrolase activity', 'nucleic acid binding', 'nucleotide binding']",['RNA splicing'],,['RNA accumulation: increased'],"['PRP45', 'ECM2', 'NTC20', 'BUD31', 'CWC2', 'CDC40', 'SYF1', 'CWC21', 'PRP22', 'BRR2', 'SYF2', 'CWC22', 'PRP8', 'MSL1', 'ISY1', 'SNU114', 'PRP16', 'PRP19', 'MSL5', 'CLF1', 'CEF1', 'PRP46', 'CBC2', 'LEA1', 'SNT309', 'CWC15']",,"['DEAD/DEAH box helicase', 'Helicase conserved C-terminal domain', 'Oligonucleotide/oligosaccharide-binding (OB)-fold']"
PF04410,Type IIB DNA topoisomerase,2,"['YHR089C', 'YNL124W']",,,,,,,,,,
PF04418,Helicase associated domain (HA2),1,['YCL057C-A'],,,,,,,,,,
PF04419,Gar1/Naf1 RNA binding region,1,['YDL085C-A'],,,,,,,,,,
PF04420,Domain of unknown function (DUF543),1,['YGL020C'],,,,,,,,,,
PF04421,4F5 protein related disordered region,1,['YPR017C'],,,,,,,,,,
PF04423,CHD5-like protein,1,['YNL250W'],,,,,,,,,,
PF04424,Mss4 protein,2,"['YGL082W', 'YPL191C']",,,,"['Lys48-specific deubiquitinase activity', 'cysteine-type carboxypeptidase activity', 'thiol-dependent ubiquitin-specific protease activity']",['protein K48-linked deubiquitination'],,,,,
PF04425,Rad50 zinc hook motif,3,"['YML111W', 'YMR275C', 'YNR069C']",,['YNR068C'],['ubiquitin ligase complex'],['ubiquitin-ubiquitin ligase activity'],"['protein monoubiquitination', 'protein polyubiquitination']",,,,,['Bul1 C terminus']
PF04426,MINDY deubiquitinase,3,"['YML111W', 'YMR275C', 'YNR068C']",,"['YNR068C', 'BSC5']",['ubiquitin ligase complex'],['ubiquitin-ubiquitin ligase activity'],"['protein monoubiquitination', 'protein polyubiquitination']",,,,,['Bul1 N terminus']
PF04427,Bul1 N terminus,6,"['YDR312W', 'YHR066W', 'YHR088W', 'YKR081C', 'YNL075W', 'YOL077C']",,['TIF4632'],"['nucleolus', 'preribosome, large subunit precursor']","['5S rRNA binding', 'rRNA binding', 'rRNA primary transcript binding']","['maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)', 'rRNA processing', 'ribosomal large subunit assembly', 'ribosome biogenesis']",,['desiccation resistance: increased'],"['DBP10', 'MAK21', 'RRP1', 'PUF6', 'NOP16', 'NUG1', 'SPB4', 'LOC1', 'NSA1', 'NOP7', 'CIC1', 'SSF1', 'RPF1', 'ULP2', 'MRT4', 'MAK11', 'EBP2', 'RPF2', 'DRS1', 'RPL8B', 'NOC3', 'RLP24', 'PWP1', 'MMS22', 'ORC1', 'RRP5', 'RPL20A', 'HAS1', 'RLP7', 'NOP2', 'NOP15', 'BRX1', 'NOC2', 'YTM1', 'RRS1', 'NOP58', 'NOP4', 'NOG1', 'RPL5', 'NIP7', 'TIF6', 'RRP15', 'RPL27A']",,
PF04428,Bul1 C terminus,2,"['YDR147W', 'YLR133W']",,,,"['choline kinase activity', 'ethanolamine kinase activity', 'phosphotransferase activity, alcohol group as acceptor']","['CDP-choline pathway', 'phosphatidylcholine biosynthetic process', 'phosphatidylethanolamine biosynthetic process']",,,,,['Choline/ethanolamine kinase']
PF04433,Brix domain,4,"['YAL034C', 'YFR037C', 'YJL176C', 'YOR338W']",,,['SAGA-type complex'],,"['chromatin remodeling', 'positive regulation of histone acetylation', 'positive regulation of transcription, DNA-templated']",,,,,['SWIRM-associated region 1']
PF04437,Choline kinase N terminus,1,['YGL145W'],,,,,,,,,,
PF04438,SWIRM domain,2,"['YHR040W', 'YJR055W']",,,['pre-snoRNP complex'],,"['box C/D snoRNP assembly', 'snoRNA localization']",,,,,
PF04442,RINT-1 / TIP-1 family,1,['YPL132W'],,,,,,,,,,
PF04446,HIT zinc finger,1,['YGR024C'],,,,,,,,,,
PF04468,Cytochrome c oxidase assembly protein CtaG/Cox11,2,"['YDR505C', 'YLR177W']",,,,,,,,,,
PF04478,tRNAHis guanylyltransferase,2,"['YGR023W', 'YLR332W']",,,,,,,,,,
PF04479,PSP1 C-terminal conserved region,3,"['YER185W', 'YGR213C', 'YLR046C']",,,,,,,,,,
PF04488,Mid2 like cell wall stress sensor,4,"['YBR161W', 'YGL038C', 'YJR075W', 'YPL057C']",,['TOS1'],"['alpha-1,6-mannosyltransferase complex']",,"['glycosphingolipid biosynthetic process', 'mannosyl-inositol phosphorylceramide biosynthetic process', 'mannosylation']",,,,,
PF04494,RTA1 like protein,1,['YBR198C'],,,,,,,,,,
PF04495,Glycosyltransferase sugar-binding region containing DXD motif,1,['YDR517W'],,,,,,,,,,
PF04499,"WD40 associated region in TFIID subunit, NTD2 domain",4,"['YFR040W', 'YGL229C', 'YJL098W', 'YKR028W']",,"['SIT4', 'SAP4', 'SAP185', 'ATP2']",,"['protein phosphatase binding', 'protein phosphatase regulator activity']","['G1/S transition of mitotic cell cycle', 'cell cycle', 'regulation of phosphoprotein phosphatase activity']",,,['TIP41'],,
PF04502,GRASP55/65 PDZ-like domain,1,['YKL095W'],,,,,,,,,,
PF04506,SIT4 phosphatase-associated protein,1,['YBL020W'],,,,,,,,,,
PF04511,Saf4/Yju2 protein,2,"['YBR201W', 'YDR411C']",,,['Hrd1p ubiquitin ligase ERAD-L complex'],"['misfolded protein binding', 'ubiquitin-specific protease binding']",,,,,,
PF04515,Rft protein,1,['YOR161C'],,,,,,,,,,
PF04547,Der1-like family,1,['YBR086C'],,,,,,,,,,
PF04557,Plasma-membrane choline transporter,1,['YOR168W'],,,,,,,,,,
PF04558,Calcium-activated chloride channel,1,['YOR168W'],,,,,,,,,,
PF04560,"Glutaminyl-tRNA synthetase, non-specific RNA binding region part 2",3,"['YOR151C', 'YOR207C', 'YPR010C']",,['RPC10'],,"[""DNA-directed 5'-3' RNA polymerase activity"", 'nucleotidyltransferase activity', 'ribonucleoside binding']","['transcription, DNA-templated']",,,"['RPB5', 'YTA7', 'NPA3', 'RPB10', 'RPB8', 'RPO26']",,"['RNA polymerase Rpb2, domain 6', 'RNA polymerase Rpb2, domain 2', 'RNA polymerase beta subunit', 'RNA polymerase Rpb2, domain 3', 'RNA polymerase Rpb2, domain 4', 'RNA polymerase Rpb2, domain 5']"
PF04561,"Glutaminyl-tRNA synthetase, non-specific RNA binding region part 1",3,"['YOR151C', 'YOR207C', 'YPR010C']",,['RPC10'],,"[""DNA-directed 5'-3' RNA polymerase activity"", 'nucleotidyltransferase activity', 'ribonucleoside binding']","['transcription, DNA-templated']",,,"['RPB5', 'YTA7', 'NPA3', 'RPB10', 'RPB8', 'RPO26']",,"['RNA polymerase Rpb2, domain 6', 'RNA polymerase Rpb2, domain 7', 'RNA polymerase beta subunit', 'RNA polymerase Rpb2, domain 3', 'RNA polymerase Rpb2, domain 4', 'RNA polymerase Rpb2, domain 5']"
PF04563,"RNA polymerase Rpb2, domain 7",3,"['YOR151C', 'YOR207C', 'YPR010C']",,['RPC10'],,"[""DNA-directed 5'-3' RNA polymerase activity"", 'nucleotidyltransferase activity', 'ribonucleoside binding']","['transcription, DNA-templated']",,,"['RPB5', 'YTA7', 'NPA3', 'RPB10', 'RPB8', 'RPO26']",,"['RNA polymerase Rpb2, domain 6', 'RNA polymerase Rpb2, domain 7', 'RNA polymerase Rpb2, domain 2', 'RNA polymerase Rpb2, domain 3', 'RNA polymerase Rpb2, domain 4', 'RNA polymerase Rpb2, domain 5']"
PF04564,"RNA polymerase Rpb2, domain 2",1,['YDL190C'],,,,,,,,,,
PF04565,RNA polymerase beta subunit,3,"['YOR151C', 'YOR207C', 'YPR010C']",,['RPC10'],,"[""DNA-directed 5'-3' RNA polymerase activity"", 'nucleotidyltransferase activity', 'ribonucleoside binding']","['transcription, DNA-templated']",,,"['RPB5', 'YTA7', 'NPA3', 'RPB10', 'RPB8', 'RPO26']",,"['RNA polymerase Rpb2, domain 6', 'RNA polymerase Rpb2, domain 7', 'RNA polymerase Rpb2, domain 2', 'RNA polymerase beta subunit', 'RNA polymerase Rpb2, domain 4', 'RNA polymerase Rpb2, domain 5']"
PF04566,U-box domain,2,"['YOR151C', 'YOR207C']",,,,['ribonucleoside binding'],,,,,,"['RNA polymerase Rpb2, domain 6', 'RNA polymerase Rpb2, domain 7', 'RNA polymerase Rpb2, domain 2', 'RNA polymerase beta subunit', 'RNA polymerase Rpb2, domain 3', 'RNA polymerase Rpb2, domain 5']"
PF04567,"RNA polymerase Rpb2, domain 3",2,"['YOR151C', 'YOR207C']",,,,['ribonucleoside binding'],,,,,,"['RNA polymerase Rpb2, domain 6', 'RNA polymerase Rpb2, domain 7', 'RNA polymerase Rpb2, domain 2', 'RNA polymerase beta subunit', 'RNA polymerase Rpb2, domain 3', 'RNA polymerase Rpb2, domain 4']"
PF04568,"RNA polymerase Rpb2, domain 4",2,"['YDL130W-A', 'YDL181W']",,,,['ATPase inhibitor activity'],['negative regulation of ATPase activity'],,,,,
PF04571,"RNA polymerase Rpb2, domain 5",1,['YMR165C'],,,,,,,,,,
PF04573,"Mitochondrial ATPase inhibitor, IATP",1,['YLR066W'],,,,,,,,,,
PF04574,"lipin, N-terminal conserved region",2,"['YDL042C', 'YOL068C']",,,,"['NAD+ binding', 'NAD-dependent histone deacetylase activity', 'NAD-dependent histone deacetylase activity (H4-K16 specific)']",['histone H4 deacetylation'],,['chemical compound excretion: decreased'],['RFM1'],,['Sir2 family']
PF04588,Signal peptidase subunit,2,"['YML030W', 'YNR018W']",,,['mitochondrial respiratory chain'],,['regulation of proton transport'],,,,,
PF04597,Protein of unknown function (DUF592),1,['YJL002C'],,,,,,,,,,
PF04603,Hypoxia induced protein conserved region,1,['YJR074W'],,,,,,,,,,
PF04614,Ribophorin I,1,['YDL065C'],,,,,,,,,,
PF04615,Ran-interacting Mog1 protein,1,['YML093W'],,,,,,,,,,
PF04622,Pex19 protein family,1,['YMR202W'],,,,,,,,,,
PF04627,Utp14 protein,1,['YPL271W'],,,,,,,,,,
PF04628,ERG2 and Sigma1 receptor like protein,2,"['YBR254C', 'YEL048C']",,,['TRAPPII protein complex'],,,,,"['TRS20', 'TRS23', 'TRS120', 'TRS31', 'TCA17', 'TRS65', 'BET3', 'BET5', 'TRS130', 'TRS33']",,
PF04648,Mitochondrial ATP synthase epsilon chain,2,"['YGL089C', 'YPL187W']",,,,"['cupric ion binding', 'mating pheromone activity', 'pheromone activity']","['mating', 'sexual reproduction']",,,,['RGT1'],['Mating factor alpha precursor N-terminus']
PF04652,"Sedlin, N-terminal conserved region",1,['YLR181C'],,,,,,,,,,
PF04658,Yeast mating factor alpha hormone,1,['YMR227C'],,,,,,,,,,
PF04667,Vta1 like,2,"['YHR132W-A', 'YNL157W']",,,,['protein phosphatase inhibitor activity'],"['negative regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay', 'negative regulation of protein dephosphorylation', 'positive regulation of G1 to G0 transition', 'positive regulation of mitotic cell cycle phase transition', 'positive regulation of protein serine/threonine phosphatase activity']",,,,,
PF04669,TAFII55 protein conserved region,1,['YPL225W'],,,,,,,,,,
PF04670,cAMP-regulated phosphoprotein/endosulfine conserved region,2,"['YGR163W', 'YML121W']",,,"['Gtr1-Gtr2 GTPase complex', 'Ragulator complex', 'late endosome membrane']",,"['cellular response to amino acid stimulus', 'cellular response to starvation', 'negative regulation of autophagy', 'positive regulation of TOR signaling', 'positive regulation of TORC1 signaling', 'protein localization to vacuolar membrane', 'regulation of autophagy']",,"['nutrient uptake: decreased', 'nutrient uptake: increased']",,,
PF04675,Polysaccharide biosynthesis,1,['YDL164C'],,,,,,,,,,
PF04676,Gtr1/RagA G protein conserved region,1,['YGR093W'],,,,,,,,,,
PF04677,DNA ligase N terminus,1,['YGR093W'],,,,,,,,,,
PF04679,Protein similar to CwfJ C-terminus 2,1,['YDL164C'],,,,,,,,,,
PF04683,Protein similar to CwfJ C-terminus 1,1,['YLR421C'],,,,,,,,,,
PF04684,ATP dependent DNA ligase C terminal region,1,['YKL112W'],,,,,,,,,,
PF04695,Proteasome complex subunit Rpn13 ubiquitin receptor,1,['YGL153W'],,,,,,,,,,
PF04699,BAF1 / ABF1 chromatin reorganising factor,1,['YIL062C'],,,,,,,,,,
PF04707,Pex14 N-terminal domain,3,"['YDR185C', 'YLR168C', 'YLR193C']",,,"['extrinsic component of mitochondrial inner membrane', 'mitochondrial intermembrane space']",['phosphatidic acid transporter activity'],"['cardiolipin metabolic process', 'intermembrane lipid transfer', 'phospholipid transport']",,,['MDM35'],,
PF04715,ARP2/3 complex 16 kDa subunit (p16-Arc),2,"['YER090W', 'YNR033W']",,,,,,,,,,['chorismate binding enzyme']
PF04718,PRELI-like family,1,['YPR020W'],,,,,,,,,,
PF04719,"Anthranilate synthase component I, N terminal region",1,['YML015C'],,,,,,,,,,
PF04722,Mitochondrial ATP synthase g subunit,1,['YNL222W'],,,,,,,,,,
PF04729,hTAFII28-like protein conserved region,1,['YJL115W'],,,,,,,,,,
PF04733,Ssu72-like protein,1,['YIL076W'],,,,,,,,,,
PF04739,ASF1 like histone chaperone,3,"['YDR422C', 'YER027C', 'YGL208W']",,['SAK1'],['nucleotide-activated protein kinase complex'],"['AMP-activated protein kinase activity', 'protein kinase binding']","['positive regulation of pseudohyphal growth', 'protein phosphorylation', 'regulation of primary metabolic process', 'regulation of protein complex assembly', 'regulation of protein kinase activity', 'signal transduction']",,,['SNF4'],,['Glycogen recognition site of AMP-activated protein kinase']
PF04750,Coatomer epsilon subunit,1,['YHR140W'],,,,,,,,,,
PF04752,"5'-AMP-activated protein kinase beta subunit, interaction domain",1,['YER163C'],,,,,,,,,,
PF04756,FAR-17a/AIG1-like protein,2,"['YML019W', 'YOR085W']",,,['oligosaccharyltransferase complex'],['protein disulfide oxidoreductase activity'],['protein N-linked glycosylation via asparagine'],,,,,
PF04757,ChaC-like protein,3,"['YDR265W', 'YJL210W', 'YMR026C']",,"['PEX19', 'PEX4', 'PEX13']","['integral component of peroxisomal membrane', 'peroxisomal importomer complex', 'peroxisomal membrane', 'peroxisome']",['ubiquitin protein ligase activity'],['protein import into peroxisome matrix'],,"['peroxisomal morphology: absent', 'peroxisomal transport: decreased']","['UBC4', 'PEX19', 'PEX5', 'PEX10', 'PEX14', 'PEX8', 'PEX4', 'PEX18', 'PEX2', 'PEX13', 'ERG6', 'PEX12', 'PEX17', 'PEX15']",,
PF04758,"OST3 / OST6 family, transporter family",2,"['YLR287C-A', 'YOR182C']",,,,,,,,,,
PF04760,Pex2 / Pex12 amino terminal region,1,['YOL023W'],,,,,,,,,,
PF04762,Ribosomal protein S30,1,['YLR384C'],,,,,,,,,,
PF04768,"Translation initiation factor IF-2, N-terminal region",2,"['YER069W', 'YJL071W']",,,,"['acetyl-CoA:L-glutamate N-acetyltransferase activity', 'acetylglutamate kinase activity', 'arginine binding']","['arginine biosynthetic process', 'ornithine biosynthetic process']",['arginine biosynthesis'],,,,
PF04769,IKI3 family,2,"['YCL066W', 'YCR040W']",,,,,"['mating type determination', 'positive regulation of mating-type specific transcription, DNA-templated', 'regulation of mating-type specific transcription, DNA-templated']",,,,,
PF04777,"NAT, N-acetyltransferase, of N-acetylglutamate synthase",2,"['YGR029W', 'YPR037C']",,,,"['flavin-linked sulfhydryl oxidase activity', 'thiol oxidase activity']",,,,,,
PF04795,Mating-type protein MAT alpha 1 HMG-box,1,['YNL215W'],,,,,,,,,,
PF04801,Erv1 / Alr family,1,['YKR025W'],,,,,,,,,,
PF04802,PAPA-1-like conserved region,1,['YNL201C'],,,,,,,,,,
PF04810,RPC5 protein,4,"['YHR098C', 'YIL109C', 'YNL049C', 'YPR181C']",,"['SEC24', 'SEC16']","['COPII vesicle coat', 'ER to Golgi transport vesicle membrane', 'Golgi apparatus', 'Golgi membrane', 'endoplasmic reticulum exit site', 'endoplasmic reticulum membrane']","['SNARE binding', 'signal sequence binding', 'zinc ion binding']","['ER to Golgi vesicle-mediated transport', 'cargo loading into COPII-coated vesicle', 'intracellular protein transport', 'protein transport', 'vesicle-mediated transport']",,,"['SIT4', 'GRH1', 'SFB3', 'SEC24', 'SED5', 'EMP46', 'SEC13', 'SEC16', 'SEC23']",,"['Gelsolin repeat', 'Sec23/Sec24 trunk domain', 'Sec23/Sec24 helical domain', 'Sec23/Sec24 beta-sandwich domain']"
PF04811,Phosphatase 4 regulatory subunit 3,5,"['YHR035W', 'YHR098C', 'YIL109C', 'YNL049C', 'YPR181C']",,"['SEC24', 'SEC16']","['COPII vesicle coat', 'ER to Golgi transport vesicle membrane', 'Golgi apparatus', 'Golgi membrane', 'endoplasmic reticulum exit site', 'endoplasmic reticulum membrane']","['SNARE binding', 'signal sequence binding', 'zinc ion binding']","['ER to Golgi vesicle-mediated transport', 'cargo loading into COPII-coated vesicle', 'intracellular protein transport', 'vesicle-mediated transport']",,,"['SIT4', 'GRH1', 'SFB3', 'SEC24', 'SED5', 'SEC16', 'SAR1', 'SEC23']",,"['Gelsolin repeat', 'Sec23/Sec24 zinc finger', 'Sec23/Sec24 helical domain', 'Sec23/Sec24 beta-sandwich domain']"
PF04815,Sec23/Sec24 zinc finger,4,"['YHR098C', 'YIL109C', 'YNL049C', 'YPR181C']",,"['SEC24', 'SEC16']","['COPII vesicle coat', 'ER to Golgi transport vesicle membrane', 'Golgi apparatus', 'Golgi membrane', 'endoplasmic reticulum exit site', 'endoplasmic reticulum membrane']","['SNARE binding', 'signal sequence binding', 'zinc ion binding']","['ER to Golgi vesicle-mediated transport', 'cargo loading into COPII-coated vesicle', 'intracellular protein transport', 'protein transport', 'vesicle-mediated transport']",,,"['SIT4', 'GRH1', 'SFB3', 'SEC24', 'SED5', 'EMP46', 'SEC13', 'SEC16', 'SEC23']",,"['Gelsolin repeat', 'Sec23/Sec24 zinc finger', 'Sec23/Sec24 trunk domain', 'Sec23/Sec24 beta-sandwich domain']"
PF04818,Sec23/Sec24 trunk domain,3,"['YDR228C', 'YDR289C', 'YNL251C']",,,,,"['termination of RNA polymerase II transcription, exosome-dependent']",,,,,
PF04821,Sec23/Sec24 helical domain,1,['YNL273W'],,,,,,,,,,
PF04824,CID domain,1,['YDL003W'],,,,,,,,,,
PF04825,Timeless protein,2,"['YDL003W', 'YPR007C']",,,"['cohesin complex', 'condensed nuclear chromosome', 'nuclear meiotic cohesin complex', 'nuclear mitotic cohesin complex', 'synaptonemal complex']",,"['replication-born double-strand break repair via sister chromatid exchange', 'sister chromatid cohesion', 'synaptonemal complex assembly']",,,,,
PF04840,Conserved region of Rad21 / Rec8 like protein,1,['YPL045W'],,,,,,,,,,
PF04841,N terminus of Rad21 / Rec8 like protein,1,['YPL045W'],,,,,,,,,,
PF04847,"Vps16, C-terminal region",1,['YKL159C'],,,,,,,,,,
PF04851,"Vps16, N-terminal region",3,"['YDR332W', 'YIL143C', 'YIR002C']",,,,['helicase activity'],['DNA duplex unwinding'],,,,,
PF04855,Calcipressin,2,"['YBR289W', 'YLR321C']",,,['nuclear chromosome'],,,,,,,
PF04856,"Type III restriction enzyme, res subunit",1,['YDR113C'],,,,,,,,,,
PF04857,SNF5 / SMARCB1 / INI1,1,['YNR052C'],,,,,,,,,,
PF04869,Securin sister-chromatid separation inhibitor,1,['YDL058W'],,,,,,,,,,
PF04871,CAF1 family ribonuclease,1,['YDL058W'],,,,,,,,,,
PF04874,"Uso1 / p115 like vesicle tethering protein, head region",1,['YAL025C'],,,,,,,,,,
PF04882,"Uso1 / p115 like vesicle tethering protein, C terminal region",1,['YDR329C'],,,,,,,,,,
PF04889,Mak16 protein C-terminal region,1,['YDR163W'],,,,,,,,,,
PF04892,Peroxin-3,1,['YJR112W-A'],,,,,,,,,,
PF04893,Cwf15/Cwc15 cell cycle control protein,2,"['YGL161C', 'YGR172C']",,,,,,,,,,
PF04898,VanZ like family,1,['YDL171C'],,,,,,,,,,
PF04900,Yip1 domain,1,['YDR339C'],,,,,,,,,,
PF04910,Glutamate synthase central domain,1,['YDR333C'],,,,,,,,,,
PF04911,Fcf1,1,['YML081C-A'],,,,,,,,,,
PF04912,Transcriptional repressor TCF25,1,['YMR294W'],,,,,,,,,,
PF04922,ATP synthase j chain,1,['YGR227W'],,,,,,,,,,
PF04925,Dynamitin,1,['YIL104C'],,,,,,,,,,
PF04926,DIE2/ALG10 family,1,['YKR002W'],,,,,,,,,,
PF04928,SHQ1 protein,1,['YKR002W'],,,,,,,,,,
PF04930,Poly(A) polymerase predicted RNA binding domain,1,['YAL008W'],,,,,,,,,,
PF04931,Poly(A) polymerase central domain,1,['YEL055C'],,,,,,,,,,
PF04934,FUN14 family,1,['YHR058C'],,,,,,,,,,
PF04935,DNA polymerase phi,1,['YKL082C'],,,,,,,,,,
PF04938,MED6 mediator sub complex component,1,['YPR057W'],,,,,,,,,,
PF04939,Surfeit locus protein 6,1,['YOR294W'],,,,,,,,,,
PF04950,Survival motor neuron (SMN) interacting protein 1 (SIP1),2,"['YDL060W', 'YPL217C']",,,,,"['endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)']",,,,,['AARP2CN (NUC121) domain']
PF04979,Ribosome biogenesis regulatory protein (RRS1),1,['YMR311C'],,,,,,,,,,
PF04981,40S ribosome biogenesis protein Tsr1 and BMS1 C-terminal,1,['YHR170W'],,,,,,,,,,
PF04983,Protein phosphatase inhibitor 2 (IPP-2),3,"['YDL140C', 'YOR116C', 'YOR341W']",,['GPN2'],,"[""DNA-directed 5'-3' RNA polymerase activity"", 'nucleotidyltransferase activity']","['transcription, DNA-templated']",,,"['RPB5', 'BUD27', 'YTA7', 'STH1', 'NPA3', 'RPB10', 'RPB8', 'RPO26']",,"['RNA polymerase Rpb1, domain 2', 'RNA polymerase Rpb1, domain 1', 'RNA polymerase Rpb1, domain 5', 'RNA polymerase Rpb1, domain 4']"
